admin_id,username,password,email,created_at,last_login,is_active
64e94901-6582-41fe-b4d2-f7e60a2c0e60,egomez,yR+t+xHT!2L_,zcampbell@example.net,2024-03-11 12:23:20,2024-01-17 00:21:05,False
a86f202e-ff97-4e20-b85f-88e88115626e,williamssamantha,k(Ozr8QioumN,kimberlycosta@example.net,2024-04-10 04:13:05,2023-08-03 16:19:01,False
3446a891-50be-4d31-a884-2b2b7de2581a,bryankhan,Bv6Y@gpgb*8T,vsmith@example.org,2024-04-14 00:19:42,2023-09-28 13:00:03,False
4e892e40-0f2d-4fa0-8be3-04efdbc93ef4,christopher63,(n0tBlZ@z4Db,luis71@example.org,2023-08-16 01:04:48,2023-06-20 07:20:32,False
fb4fefd4-6c71-4d2c-9638-4dc373533ebc,andreasmith,8bTHDZA8$4@q,johnroberson@example.org,2023-09-09 09:22:22,2024-05-13 09:50:21,True
7a5abc53-3113-49ee-814b-d0c0657211f3,laneamanda,#RuVD$)Hc7!Q,natashahill@example.com,2023-09-07 06:36:45,2023-09-30 23:12:39,True
f7f0d7ef-7dee-402e-a808-1caf99b4a79a,acollins,QveJayJ1)w3E,christiangonzales@example.com,2023-06-27 22:56:34,2024-03-03 05:27:09,True
4ce981a9-66a3-4f91-a1f4-ac32715e921c,vjohnson,+5lSdN@+&kI3,charles02@example.com,2023-11-18 02:17:24,2023-12-11 11:35:03,False
ef630139-4f63-4384-8d05-3622bb6f703a,noah04,N5Qzaj9j!8L_,wareashley@example.org,2023-07-21 20:30:31,2023-10-22 01:56:25,False
5f5be64e-1cf3-47f5-affd-e1628f9ea3f8,gary02,!tj6NnP5+5lC,onicholson@example.net,2023-08-28 21:18:58,2024-06-05 05:27:04,False
227e4dc1-5f60-4213-b22a-9bebe7d01f2a,peggy81,#x*Hlnnx57IP,joneschristina@example.org,2024-02-05 08:52:40,2023-11-11 20:58:47,False
a8417cc9-46cf-4e73-be76-fdc81308b821,jameswatkins,6bhgJXskD#92,lfrye@example.com,2023-06-29 16:23:36,2024-03-23 15:28:41,False
